,Title,Year,Certification,Runtime,Genre,Summary,Votes,Ratings
0,The Shawshank Redemption,1994,MA,142,Drama,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",2164040,9.3
1,The Godfather,1972,R,175,"Crime, Drama",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,1485485,9.2
2,The Dark Knight,2008,M,152,"Action, Crime, Drama","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2138907,9.0
3,The Godfather: Part II,1974,M,202,"Crime, Drama","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1034512,9.0
4,The Lord of the Rings: The Return of the King,2003,M,201,"Adventure, Drama, Fantasy",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1536487,8.9
5,Pulp Fiction,1994,R,154,"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1698837,8.9
6,Schindler's List,1993,M,195,"Biography, Drama, History","In German-occupied Poland during World War II, industrialistOskar Schindlergradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1122674,8.9
7,12 Angry Men,1957,G,96,Drama,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,619233,8.9
8,Inception,2010,M,148,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,1896880,8.8
9,Fight Club,1999,R,139,Drama,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",1728920,8.8
10,The Lord of the Rings: The Fellowship of the Ring,2001,M,178,"Adventure, Drama, Fantasy",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,1551743,8.8
11,Forrest Gump,1994,M,142,"Drama, Romance","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75.",1666391,8.8
12,"The Good, the Bad and the Ugly",1966,A,161,Western,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,642238,8.8
